	max_occurrence	max_field	in_fields	not_in_fields	rel_013D a	rel_013E a	rel_013F a	rel_032@ a	rel_032W a	rel_041A a	rel_041A g	rel_044K a	rel_044K g	rel_044L a	rel_044N a	rel_044S a	rel_044Z a	rel_045D a	rel_045Q j
Christliche Lyrik	446.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000996		0.000897		0.000359	1.8e-05				
Dokumentarliteratur	88.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000348		0.000177		0.000154					
Entwicklungsroman	79.0	044N a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000139		9.1e-05		0.000103	0.001433				
Epik	13422.0	045Q j	['041A a', '044K a', '044L a', '044N a', '044S a', '045Q j']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a']						0.004005		0.003048		0.00687	0.000272	0.041435			0.027922
Episches Theater	66.0	041A a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.00046		0.000119		0.000256	0.000145				
Epistel	41.0	044K a	['041A a', '044K a', '044L a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044Z a', '045D a', '045Q j']						4.2e-05		8.2e-05		0.000103		0.001145			
Erzählung	6079.0	044K a	['041A a', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '045D a', '045Q j']						0.021441		0.012232	3.3e-05	0.019328	0.003791	0.028402	0.007547		
Fabel	2003.0	044K a	['013D a', '041A a', '041A g', '044K a', '044L a', '044N a', '044S a']	['013E a', '013F a', '032@ a', '032W a', '044K g', '044Z a', '045D a', '045Q j']	5e-06					0.003156	7.5e-05	0.00403		0.003845	0.000707	0.006649			
Fürstenspiegel	267.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000446		0.000537		0.000769	0.000145				
Geistliches Drama	319.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.001038		0.000642		0.000615					
Haiku	232.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000648		0.000467		0.000154	0.000218				
Historische Erzählung	1173.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000348		0.00236		0.001794	0.000145				
Historischer Roman	956.0	044K a	['013D a', '041A a', '044K a', '044L a', '044N a']	['013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']	2e-06					0.00241		0.001924		0.00282	0.005296				
Historisches Drama	337.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000996		0.000678		0.000718	3.6e-05				
Höfische Literatur	167.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000648		0.000336		0.000872	5.4e-05				
Hörspiel	2782.0	013D a	['013D a', '032@ a', '032W a', '041A a', '044K a', '044L a', '044N a', '044Z a']	['013E a', '013F a', '041A g', '044K g', '044S a', '045D a', '045Q j']	0.006668			2.9e-05	0.00625	0.001762		0.00066		0.001128	0.000689		0.001258		
Idylle	97.0	044K a	['041A a', '044K a', '044L a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044Z a', '045D a', '045Q j']						0.000293		0.000195		0.00041		0.000132			
Jugendliteratur	1841.0	044K a	['013D a', '041A a', '044K a', '044L a', '044N a', '044Z a']	['013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']	5e-06					0.008519		0.003704		0.019533	0.002666		0.003774		
Komödie	3883.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.004152		0.007813		0.004871	0.000326	0.058212			
Kriminalroman	939.0	044K a	['041A a', '044K a', '044L a', '044N a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']						0.005629		0.001889		0.003127	0.004299		0.003774		
Kurzgeschichte	2610.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.005238		0.005252		0.006357	0.001197				
Laisse	9.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		1.8e-05							
Legende	2288.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '045D a', '045Q j']						0.004737		0.004604		0.005076	0.00049	0.00022	0.001258		
Libretto	4123.0	044K a	['013D a', '032@ a', '041A a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a']	['013E a', '013F a', '032W a', '044Z a', '045D a', '045Q j']	7e-06			6.1e-05		0.001477	0.000224	0.008296	6.6e-05	0.000666	0.000744	0.033069			
Lied	3947.0	044K a	['013E a', '032W a', '041A a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a']	['013D a', '013F a', '032@ a', '044Z a', '045D a', '045Q j']		0.003802			0.80625	0.004584	0.00015	0.007942	0.00023	0.007895	0.001614	0.139322			
Märchen	13036.0	044K a	['013D a', '041A a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a']	['013E a', '013F a', '032@ a', '032W a', '045D a', '045Q j']	5e-06					0.020445	0.000748	0.02623	0.002071	0.027788	0.005314	0.009203	0.001258		
Minnesang	404.0	044K a	['032W a', '041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']					0.00625	0.001637		0.000813		0.002256	0.000345				
Moralistik	62.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000313		0.000125		0.000205					
Novelle	2174.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.003065		0.004374		0.00405	0.000399	0.006869			
Parodie	781.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.002118		0.001571		0.002512	0.000272				
Passionsspiel	120.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000446		0.000241		0.000154	1.8e-05				
Politisches Theater	276.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000947		0.000555		0.000666	0.000127				
Rätsel	1465.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '045D a', '045Q j']						0.001957		0.002948		0.002769	0.000435	0.000484	0.005031		
Rechtssprichwort	71.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000383		0.000143		0.000359	1.8e-05				
Saga	1157.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000557		0.002328		0.001179	3.6e-05				
Sage	3976.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.013396		0.008		0.01292	0.001179	0.002026			
Satire	1991.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '045D a', '045Q j']						0.004221		0.004006		0.00928	0.002249	0.01845	0.005031		
Schelmenroman	214.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.00062		0.000431		0.000769	0.000236				
Schwank	469.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.001122		0.000944		0.001282	3.6e-05	0.005284			
Sentenz	133.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000146		0.000268		0.000666					
Sonett	493.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.001219		0.000992		0.001333	1.8e-05				
Sprichwort	3535.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.005977		0.007113		0.00687	0.00049	0.000925			
Spruchdichtung	173.0	044K a	['041A a', '044K a', '044K g', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044S a', '044Z a', '045D a', '045Q j']						0.000244		0.000348	0.001019	0.00041	3.6e-05				
Streitgedicht	10.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2e-05			1.8e-05				
Tragödie	6309.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.006367		0.012695		0.004409	0.000562	0.021664			
Trivialliteratur	608.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '045D a', '045Q j']						0.001108		0.001223		0.003025	0.0002	0.000176	0.001258		
Trivialroman	331.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000529		0.000666		0.001025	5.4e-05				
Troubadourlyrik	354.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000773		0.000712		0.000974	5.4e-05				
Trouvèrelyrik	50.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						0.000153		0.000101			1.8e-05				
Volksbuch	971.0	044K a	['041A a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '044Z a', '045D a', '045Q j']						0.000181	0.000972	0.001954	0.004273	0.000564	1.8e-05	0.010128			
Volksstück	65.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000348		0.000131		0.000205					
Witz	646.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.004368		0.0013		0.003691	0.000762				
Hirtendichtung	726.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000676		0.001461		0.00082	5.4e-05				
Gemäldegedicht	28.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						8.4e-05		5.6e-05		0.000154	1.8e-05				
Historisches Lied	1262.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000188		0.002539		0.000256					
Kunstmärchen	5121.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000975		0.010304		0.0081	9.1e-05				
Meistersang	426.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000369		0.000857		0.001128	3.6e-05				
Parabel	145.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.000718		0.000292		0.000256	0.000272	4.4e-05			
Pastorelle	23.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						8.4e-05		4.6e-05							
Prosagedicht	123.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000286		0.000247		0.000308					
Zaubermärchen	174.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000439		0.00035		0.000359					
Artusepik	589.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.0017		0.001185		0.001538	0.000163				
Bauernroman	27.0	041A a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000188		2.2e-05		0.000103	1.8e-05				
Bildergeschichte	267.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000181		0.000537		0.000615	0.000453				
Bildungsroman	177.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000926		0.000356		0.00241	0.000236				
Dorfgeschichte	81.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000132		0.000163		0.000205	5.4e-05				
Erziehungsroman	18.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		3.6e-05		0.000615					
Frauenliteratur	2791.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '045D a', '045Q j']						0.007398		0.005616		0.00364	0.000889	0.007838	0.007547		
Haikai	35.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7.7e-05		7e-05							
Kreuzleich	1.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06									
Liebeslyrik	569.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.002591		0.001145		0.000461	0.000236				
Reimvers	9.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		1.8e-05			1.8e-05				
Richtspruch	17.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						6.3e-05		3.4e-05							
Subhāṣita	13.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		2.6e-05							
Trinkspruch	28.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						7.7e-05		5.6e-05			3.6e-05				
Unterhaltungsliteratur	193.0	044K a	['041A a', '044K a', '044L a', '044N a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']						0.000474		0.000388		0.000872	0.000127		0.002516		
Künstlernovelle	16.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000111		1.8e-05		0.000461					
Künstlerroman	16.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		3.2e-05		0.000103	0.000181				
Lyrikzyklus	42.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000153		8.5e-05		0.000205					
Physiologie	20.0	044K a	['041A a', '044K a', '044L a', '045Q j']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a']						6.3e-05		4e-05		5.1e-05					6e-06
Abstrakte Dichtung	6.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		1.2e-05		0.000103					
Altercatio	1.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06									
Anstandsliteratur	48.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.000174		9.7e-05		0.000308	5.4e-05	0.000572			
Exilroman	33.0	041A a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.00023		5.8e-05		5.1e-05	5.4e-05				
Faustdichtung	247.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000794		0.000497		0.000666	3.6e-05				
